Date,Close,High,Low,Open,Volume
2020-08-17,43.542362213134766,43.68194772663371,43.340532022872964,43.340532022872964,122000
2020-08-18,43.504642486572266,43.63290949636416,43.26320462914171,43.63290949636416,122500
2020-08-19,43.28017807006836,43.551801051615,43.216044566279514,43.50464173557864,112500
2020-08-20,43.170772552490234,43.21415782652904,43.04816840880549,43.04816840880549,163500
2020-08-21,43.15003204345703,43.217939597479976,42.891616367546774,43.123624549601224,334500
2020-08-24,42.904815673828125,43.39901352165901,42.7388262435931,43.39901352165901,85000
2020-08-25,43.25188446044922,43.26697342652712,43.08023577862358,43.08023577862358,98500
2020-08-26,43.227359771728516,43.25376725976145,42.79540666161804,43.25376725976145,240500
2020-08-27,43.56500244140625,43.73665111751668,43.089664048273015,43.251883020336386,192500
2020-08-28,43.6253662109375,43.66120340715707,43.31224675893651,43.66120340715707,124000
2020-08-31,43.80455780029297,43.9233915065716,43.49143835963776,43.55934590447606,261000
2020-09-01,43.35563278198242,43.781926689811,43.144369250670636,43.680067165986486,561000
2020-09-02,44.185577392578125,44.31761843040747,43.2745154582831,43.42541590376622,217000
2020-09-03,42.93876647949219,44.304418692693446,42.665258273024634,44.304418692693446,410000
2020-09-04,42.665260314941406,43.200958229698394,42.11635865435065,43.200958229698394,198000
2020-09-08,41.948486328125,42.48418427262305,41.85417128282542,42.48418427262305,227500
2020-09-09,42.669036865234375,43.010449055516894,42.30121718173113,42.30121718173113,146000
2020-09-10,42.048458099365234,42.8048493114275,42.00318759602914,42.78975674514801,139000
2020-09-11,42.20124435424805,42.36534858184176,41.87492471846489,42.223881405089244,70000
2020-09-14,42.92744445800781,43.167000671259125,42.66148435425487,42.66148435425487,223000
2020-09-15,43.0293083190918,43.34997225075269,42.9614007726131,43.212275534123336,138000
2020-09-16,42.96517562866211,43.35374351642567,42.96517562866211,43.26697655857085,81500
2020-09-17,42.884063720703125,42.95196766405001,42.49738109237951,42.587918484258516,163500
2020-09-18,42.861427307128906,43.048168550715246,42.45777048588516,42.95385351939618,115000
2020-09-21,42.01072692871094,42.21444236986706,41.48634756026726,42.21444236986706,231000
2020-09-22,41.997520446777344,42.05976872633171,41.62027112015429,42.05976872633171,100000
2020-09-23,41.55607223510742,42.186710703007556,41.51251303949487,42.15072984659355,141500
2020-09-24,41.264427185058594,41.50305098465158,41.06746980783743,41.41972175208152,333500
2020-09-25,42.06361770629883,42.12611191730878,41.23222905311786,41.273895472631175,276000
2020-09-28,42.41207504272461,42.69803993327945,42.324960269327725,42.4594197926899,238000
2020-09-29,42.408294677734375,42.68100656260248,42.26626039835084,42.55790729739783,123000
2020-09-30,43.02756881713867,43.36845683439775,42.58820573178189,42.58820573178189,385000
2020-10-01,42.96507263183594,43.35519816520804,42.80409613678739,43.31542813916777,130500
2020-10-02,42.54843521118164,42.92720050527721,42.27004499569073,42.49730489458279,120500
2020-10-05,43.46504592895508,43.46504592895508,42.90636910677673,42.90636910677673,91500
2020-10-06,42.93098068237305,43.6297988552993,42.89688899555043,43.6297988552993,102000
2020-10-07,43.79457092285156,43.86464347891585,43.27377134241994,43.27377134241994,259000
2020-10-08,44.01614761352539,44.07864182753985,43.90441225012968,44.07864182753985,80000
2020-10-09,44.31536865234375,44.43846791201559,44.16575603940475,44.273705843544924,66500
2020-10-12,44.686553955078125,44.8001820825498,44.48959660763492,44.61269224065714,111500
2020-10-13,44.41952896118164,44.635424955707286,44.305900821179414,44.45551343302264,122500
2020-10-14,44.137351989746094,44.5369486986789,43.999103268019674,44.45551585613715,92000
2020-10-15,43.75859832763672,43.87033371534736,43.54459506106327,43.60141095067309,96000
2020-10-16,44.214996337890625,44.5236890644964,43.972586993178105,43.997207567073715,164500
2020-10-19,43.46315002441406,44.406270409742056,43.3684569015991,44.406270409742056,138000
2020-10-20,43.5332145690918,43.8400144765767,43.51238316782653,43.682827159521146,200000
2020-10-21,43.241573333740234,43.612760271762404,43.188546628308494,43.47261878057472,406500
2020-10-22,43.89116287231445,43.97259572561967,43.27188451725979,43.27188451725979,108500
2020-10-23,44.05401611328125,44.30400016452169,43.8778937774956,44.16764785451643,46000
2020-10-26,43.63549041748047,43.75290773216862,43.21316953013414,43.75290773216862,192500
2020-10-27,43.357093811035156,43.66768292503844,43.35141547451658,43.516177537889206,153500
2020-10-28,42.00680160522461,42.91583391951394,41.99354492912672,42.68668486820667,131000
2020-10-29,41.75113296508789,42.12800543295011,41.48031751151538,41.95756143321324,134500
2020-10-30,41.590152740478516,41.73029419536594,41.09965223011383,41.650754157821254,239500
2020-11-02,42.22648620605469,42.37420242000676,41.84203899210808,42.20375841180159,114000
2020-11-03,42.866600036621094,43.268089523575945,42.77001412589148,42.80031665048517,156500
2020-11-04,44.76231002807617,45.41567996421343,44.04644587884122,44.04644587884122,304500
2020-11-05,44.96874237060547,45.54446146312478,44.86458172767688,45.54446146312478,312000
2020-11-06,44.84375,45.16380304271997,44.66762402024759,44.9308647942675,239500
2020-11-09,45.16190719604492,46.66181167236402,45.16190719604492,46.362590055970344,537000
2020-11-10,45.23955154418945,45.377800251671005,44.76609676962196,45.377800251671005,162000
2020-11-11,45.22819519042969,45.677029466861704,45.13918400191696,45.677029466861704,195000
2020-11-12,45.160011291503906,45.43650870525885,44.862678862430876,45.302045555949576,283000
2020-11-13,45.73004913330078,45.83231698416044,45.307728278147195,45.453551714824385,274500
