Country,Sector,Indicator,total_return,annual_return,volatility,sharpe_ratio,sortino_ratio,max_drawdown,calmar_ratio,win_rate,profit_factor
India,consumer_goods,Bollinger_Bands,0.2511295103217588,0.04850460479641905,0.04247486726983519,1.1419601264031745,0.5175439534615844,-0.0323832779140718,1.4978287536278687,0.03786008230452675,2.1130094869321105
India,consumer_goods,RSI,0.11545315125772904,0.024088648903090704,0.047827966399597015,0.5036519575562315,0.19173419088557916,-0.08497060050141998,0.28349392332102147,0.040329218106995884,1.3726509716924944
India,consumer_goods,MACD,0.43350074995966903,0.08192673600266565,0.08995935909938826,0.9107083112069744,0.830581051736454,-0.12412162500833981,0.6600520739005868,0.2814814814814815,1.2340930815304514
India,consumer_goods,Ichimoku,1.4199969269848234,0.20732669946523274,0.10118920255933699,2.0489014066857294,2.252549654284007,-0.15012069246878865,1.3810667673834351,0.38271604938271603,1.485091094029365
India,energy,Bollinger_Bands,0.14508728478482946,0.029208726441095623,0.04647612908801101,0.628467280176961,0.1966256228922039,-0.064007376874482,0.4563337519419632,0.032467532467532464,1.5964294086526527
India,energy,RSI,0.14335867755561904,0.02901878138332581,0.04894605538039418,0.5928727281044505,0.17623539673734548,-0.06001758010555005,0.4835046886644191,0.03896103896103896,1.4796352942458304
India,energy,MACD,0.6526660318439967,0.11625174454335507,0.11937236046741913,0.9738581367425018,0.7358359451856081,-0.2139595806581568,0.5433350737824191,0.30194805194805197,1.2624651779187348
India,energy,Ichimoku,2.5589004209114052,0.3084937838399362,0.1352916258292424,2.280213442251777,2.0572355023565985,-0.13109044968187897,2.353289538548133,0.413961038961039,1.5500089396492618
India,finance_and_banking,Bollinger_Bands,0.4580829286627133,0.0819852834684427,0.05795021936523914,1.4147536345241298,0.8152146940880857,-0.07361052443653834,1.1137712181241755,0.048701298701298704,2.446477295809571
India,finance_and_banking,RSI,0.1747913627276505,0.03474116992879517,0.049106654829778634,0.7074635820586962,0.2729330684112508,-0.09829527579018653,0.3534368223652068,0.040584415584415584,1.600148038275541
India,finance_and_banking,MACD,0.9044303759033567,0.14796112622140312,0.11145119628703765,1.3275867029756752,1.198249062224259,-0.13430388169482949,1.1016891273299618,0.2694805194805195,1.3697782359009312
India,finance_and_banking,Ichimoku,1.2241294829593876,0.18843474746259736,0.13516629954832593,1.3940956295487426,1.51549496030759,-0.19943078023508337,0.9448629105320443,0.37743506493506496,1.320933507471821
India,healthcare,Bollinger_Bands,0.17511982786919789,0.03463611244902065,0.04567754058802534,0.7582744605584288,0.28962738602192334,-0.0595454531828558,0.5816751842102531,0.044642857142857144,1.5851137316601176
India,healthcare,RSI,0.07389672397214264,0.015343591841722404,0.03595080800877912,0.42679407478061493,0.2118149102526002,-0.05127039808622543,0.29926804578185423,0.03571428571428571,1.2802438122525683
India,healthcare,MACD,0.479327926177495,0.08882110063556903,0.09998453892836953,0.8883483545311124,0.9042810761605896,-0.14491244740103928,0.6129294082637378,0.27435064935064934,1.2206123754831957
India,healthcare,Ichimoku,1.0057873474382948,0.15869871519455403,0.09932819008519175,1.5977207986820396,1.795196025762578,-0.13410351732610318,1.1834045695359507,0.33116883116883117,1.3802389310801129
India,technology,Bollinger_Bands,0.2286874711907454,0.04509860446565739,0.054349678323066544,0.8297860421101534,0.36266387757811847,-0.05413811013395222,0.8330287916233376,0.03286770747740345,1.756654606543087
India,technology,RSI,0.21119826055891133,0.042817339393680376,0.06711376564594146,0.6379814778917811,0.25237014026887467,-0.10453951090489547,0.4095804449729379,0.04601479046836483,1.4445996197574114
India,technology,MACD,1.2044898861803661,0.19154853865116728,0.15246616102231395,1.256334765477131,1.2997749895492066,-0.18052133729211214,1.0610853072798334,0.2744453574363188,1.3398185593459788
India,technology,Ichimoku,0.7583293919574357,0.13478627332827586,0.13876746341083177,0.9713103490926451,1.10128696945936,-0.16730926930336876,0.8056115114810435,0.2654067378800329,1.2433953615213713
US,consumer_goods,Bollinger_Bands,0.23061883896913105,0.043512950488173274,0.04314081778604155,1.0086260001833376,0.63357715711462,-0.07804041441509231,0.557569444169408,0.054183266932270914,1.704318646884357
US,consumer_goods,RSI,0.13278224651064252,0.026146360158606052,0.03954371423397222,0.6612014239204564,0.4023866683317743,-0.07129179946639844,0.3667513003501822,0.04223107569721116,1.4912612088297266
US,consumer_goods,MACD,0.5143672404061586,0.09111076358745507,0.0879225640869321,1.0362614481689898,1.1006724963388488,-0.09708668486080785,0.9384475710348912,0.2804780876494024,1.25403174667561
US,consumer_goods,Ichimoku,0.009383756203256599,0.006964903769575148,0.10045464417182105,0.06933381554427825,0.07032216808414317,-0.1884108828388373,0.03696656830344975,0.30677290836653387,1.0153083006327897
US,energy,Bollinger_Bands,-0.07248856970138184,-0.012049715758666646,0.0772253756622111,-0.15603311288989902,-0.06853489202257475,-0.16397577388331092,-0.07348473175825053,0.04143426294820717,0.9155127357757937
US,energy,RSI,0.48194556755343654,0.08544655886087327,0.07800115487643437,1.0954524839565971,0.5882714132329387,-0.04697440686863435,1.8190024006014105,0.04860557768924303,1.8697349960004395
US,energy,MACD,0.9858823462413016,0.1716695040020182,0.20407437482757362,0.8412104858685225,0.9334385385373417,-0.18504181993048444,0.9277335472949311,0.28207171314741036,1.2061473546970567
US,energy,Ichimoku,0.5887869561038188,0.12115483432385021,0.2068028443327854,0.5858470405217874,0.629090459967544,-0.35694367080328865,0.33942283960714503,0.2940239043824701,1.1347659885003611
